job_num,lab_smp_id,treatment,order,taxon,taxa_code,life_stage,length_class_mm,num_indiv,ind_mg,tot_mg
AXL007,Control 1 Day 0,control,Diptera,Rheocricotopus sp.,112,larvae,4,1,0.12751271,0.12751271
AXL007,Control 1 Day 0,control,Diptera,Simulium sp. pupae,122,pupae,4,1,0.164624404,0.164624404
AXL007,Control 1 Day 0,control,Diptera,Thienemanniella sp.,106,larvae,3,4,0.065380122,0.26152049
AXL007,Control 1 Day 0,control,Diptera,Thienemanniella sp.,106,larvae,4,3,0.12751271,0.38253813
AXL007,Control 1 Day 0,control,Diptera,Tvetenia sp.,118,larvae,3,1,0.065380122,0.065380122
AXL007,Control 1 Day 0,control,Diptera,Tvetenia sp.,118,larvae,4,1,0.12751271,0.12751271
AXL007,Control 1 Day 0,control,Diptera,Tvetenia sp.,118,larvae,5,1,0.214081198,0.214081198
AXL007,Control 1 Day 0,control,Ephemeroptera,Ameletus sp.,24,larvae,3,2,0.131058008,0.262116016
AXL007,Control 1 Day 0,control,Ephemeroptera,Ameletus sp.,24,larvae,4,1,0.275299551,0.275299551
AXL007,Control 1 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,2,5,0.038880971,0.194404857
AXL007,Control 1 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,3,6,0.124738201,0.748429207
AXL007,Control 1 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,4,2,0.285232064,0.570464128
AXL007,Control 1 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,5,2,0.5417696,1.0835392
AXL007,Control 1 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,6,3,0.915083479,2.745250436
AXL007,Control 1 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,7,6,1.425386807,8.55232084
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,2,3,0.065825398,0.197476194
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,3,14,0.194811102,2.727355423
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,4,4,0.420677962,1.682711849
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,3,2,0.194811102,0.389622203
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,4,27,0.420677962,11.35830498
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,5,22,0.764330089,16.81526195
AXL007,Control 1 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,6,2,1.245001775,2.490003551
AXL007,Control 1 Day 0,control,Ephemeroptera,Ephemerella sp.,28,larvae,1,4,0.0103,0.0412
AXL007,Control 1 Day 0,control,Ephemeroptera,Ephemerella sp.,28,larvae,2,69,0.065825398,4.541952456
AXL007,Control 1 Day 0,control,Ephemeroptera,Ephemerella sp.,28,larvae,3,34,0.194811102,6.623577457
AXL007,Control 1 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,2,1,0.030245755,0.030245755
AXL007,Control 1 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,3,4,0.089876375,0.3595055
AXL007,Control 1 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,4,5,0.194639506,0.973197532
AXL007,Control 1 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,5,1,0.354430665,0.354430665
AXL007,Control 1 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,2,14,0.072855168,1.019972351
AXL007,Control 1 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,3,50,0.222543898,11.12719491
AXL007,Control 1 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,4,103,0.491469953,50.62140517
AXL007,Control 1 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,5,79,0.908630158,71.78178252
AXL007,Control 1 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,6,18,1.501247506,27.02245512
AXL007,Control 1 Day 0,control,Planariidae,Polycelis coronata,207,larvae,4,1,0.117900565,0.117900565
AXL007,Control 1 Day 0,control,Plecoptera,Capniidae (Capnia sp.),183,larvae,2,1,0.028935762,0.028935762
AXL007,Control 1 Day 0,control,Plecoptera,Hesperoperla pacifica,14,larvae,2,2,0.072828364,0.145656727
AXL007,Control 1 Day 0,control,Plecoptera,Isoperla fulva,165,larvae,3,1,0.398586469,0.398586469
AXL007,Control 1 Day 0,control,Plecoptera,Pteronarcella badia,223,larvae,8,1,2.373946826,2.373946826
AXL007,Control 1 Day 0,control,Plecoptera,Skwala americana,16,larvae,8,1,5.868523063,5.868523063
AXL007,Control 1 Day 0,control,Plecoptera,Sweltsa sp.,11,larvae,6,3,0.856243648,2.568730944
AXL007,Control 1 Day 0,control,Plecoptera,Sweltsa sp.,11,larvae,7,1,1.303048011,1.303048011
AXL007,Control 1 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,5,1,0.48024347,0.48024347
AXL007,Control 1 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,7,3,1.242015573,3.726046718
AXL007,Control 1 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,8,4,1.810907633,7.243630533
AXL007,Control 1 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,9,1,2.525521225,2.525521225
AXL007,Control 1 Day 0,control,Trichoptera,Brachycentrus americanus,134,larvae,2,4,0.015157166,0.060628663
AXL007,Control 1 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,5,9,0.164157988,1.47742189
AXL007,Control 1 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,6,18,0.263714045,4.746852804
AXL007,Control 1 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,7,8,0.393726742,3.149813933
AXL007,Control 1 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,8,1,0.557152361,0.557152361
AXL007,Control 1 Day 0,control,Trichoptera,Hydropsyche oslari,139,larvae,4,1,0.255733482,0.255733482
AXL007,Control 1 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,2,13,0.049551357,0.644167637
AXL007,Control 1 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,3,10,0.14505119,1.450511896
AXL007,Control 1 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,4,2,0.310802146,0.621604291
AXL007,Control 1 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,5,1,0.561304641,0.561304641
AXL007,Control 1 Day 30,control,Diptera,Atherix pachypus,159,larvae,6,3,0.353688957,1.061066871
AXL007,Control 1 Day 30,control,Diptera,Atherix pachypus,159,larvae,7,2,0.534694656,1.069389311
AXL007,Control 1 Day 30,control,Diptera,Atherix pachypus,159,larvae,9,2,1.048871212,2.097742424
AXL007,Control 1 Day 30,control,Diptera,Dicranota sp.,68,larvae,5,2,0.216938473,0.433876947
AXL007,Control 1 Day 30,control,Diptera,Dicranota sp.,68,larvae,6,1,0.353688957,0.353688957
AXL007,Control 1 Day 30,control,Diptera,Eukiefferiella sp.,120,larvae,2,1,0.025501271,0.025501271
AXL007,Control 1 Day 30,control,Diptera,Heleniella sp.,104,larvae,5,1,0.214081198,0.214081198
AXL007,Control 1 Day 30,control,Diptera,Heterotrissocladius sp.,110,larvae,3,1,0.065380122,0.065380122
AXL007,Control 1 Day 30,control,Diptera,Heterotrissocladius sp.,110,larvae,5,2,0.214081198,0.428162396
AXL007,Control 1 Day 30,control,Diptera,Micropsectra/Tanytarsus sp.,128,larvae,3,1,0.017929162,0.017929162
AXL007,Control 1 Day 30,control,Diptera,Thienemannimyia group,83,larvae,3,3,0.053718384,0.161155153
AXL007,Control 1 Day 30,control,Ephemeroptera,Ameletus sp.,24,larvae,3,5,0.131058008,0.65529004
AXL007,Control 1 Day 30,control,Ephemeroptera,Ameletus sp.,24,larvae,4,2,0.275299551,0.550599102
AXL007,Control 1 Day 30,control,Ephemeroptera,Ameletus sp.,24,larvae,6,1,0.783647859,0.783647859
AXL007,Control 1 Day 30,control,Ephemeroptera,Baetis tricaudatus,26,larvae,2,6,0.038880971,0.233285829
AXL007,Control 1 Day 30,control,Ephemeroptera,Baetis tricaudatus,26,larvae,3,17,0.124738201,2.12054942
AXL007,Control 1 Day 30,control,Ephemeroptera,Baetis tricaudatus,26,larvae,4,3,0.285232064,0.855696192
AXL007,Control 1 Day 30,control,Ephemeroptera,Baetis tricaudatus,26,larvae,5,2,0.5417696,1.0835392
AXL007,Control 1 Day 30,control,Ephemeroptera,Baetis tricaudatus,26,larvae,6,1,0.915083479,0.915083479
AXL007,Control 1 Day 30,control,Ephemeroptera,Cinygmula sp.,30,larvae,3,1,0.222543898,0.222543898
AXL007,Control 1 Day 30,control,Ephemeroptera,Diphetor hageni,35,larvae,2,2,0.038880971,0.077761943
AXL007,Control 1 Day 30,control,Ephemeroptera,Drunella doddsii,171,larvae,4,10,0.420677962,4.206779622
AXL007,Control 1 Day 30,control,Ephemeroptera,Drunella doddsii,171,larvae,5,9,0.764330089,6.878970797
AXL007,Control 1 Day 30,control,Ephemeroptera,Drunella doddsii,171,larvae,6,1,1.245001775,1.245001775
AXL007,Control 1 Day 30,control,Ephemeroptera,Drunella grandis,201,larvae,5,11,0.764330089,8.407630974
AXL007,Control 1 Day 30,control,Ephemeroptera,Drunella grandis,201,larvae,6,8,1.245001775,9.960014203
AXL007,Control 1 Day 30,control,Ephemeroptera,Drunella grandis,201,larvae,8,1,2.688475171,2.688475171
AXL007,Control 1 Day 30,control,Ephemeroptera,Epeorus longimanus,31,larvae,1,9,0.0108,0.0972
AXL007,Control 1 Day 30,control,Ephemeroptera,Epeorus longimanus,31,larvae,2,2,0.072855168,0.145710336
AXL007,Control 1 Day 30,control,Ephemeroptera,Ephemerella sp.,28,larvae,1,2,0.0103,0.0206
AXL007,Control 1 Day 30,control,Ephemeroptera,Ephemerella sp.,28,larvae,2,47,0.065825398,3.093793702
AXL007,Control 1 Day 30,control,Ephemeroptera,Ephemerella sp.,28,larvae,3,17,0.194811102,3.311788729
AXL007,Control 1 Day 30,control,Ephemeroptera,Ephemerella sp.,28,larvae,4,13,0.420677962,5.468813509
AXL007,Control 1 Day 30,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,3,2,0.089876375,0.17975275
AXL007,Control 1 Day 30,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,4,3,0.194639506,0.583918519
AXL007,Control 1 Day 30,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,5,8,0.354430665,2.83544532
AXL007,Control 1 Day 30,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,6,2,0.578378468,1.156756936
AXL007,Control 1 Day 30,control,Ephemeroptera,Rhithrogena sp.,32,larvae,2,1,0.072855168,0.072855168
AXL007,Control 1 Day 30,control,Ephemeroptera,Rhithrogena sp.,32,larvae,3,15,0.222543898,3.338158472
AXL007,Control 1 Day 30,control,Ephemeroptera,Rhithrogena sp.,32,larvae,4,40,0.491469953,19.65879812
AXL007,Control 1 Day 30,control,Ephemeroptera,Rhithrogena sp.,32,larvae,5,44,0.908630158,39.97972697
AXL007,Control 1 Day 30,control,Ephemeroptera,Rhithrogena sp.,32,larvae,6,33,1.501247506,49.54116771
AXL007,Control 1 Day 30,control,Ephemeroptera,Rhithrogena sp.,32,larvae,7,6,2.29521703,13.77130218
AXL007,Control 1 Day 30,control,Plecoptera,Capniidae (Capnia sp.),183,larvae,3,1,0.081767503,0.081767503
AXL007,Control 1 Day 30,control,Plecoptera,Claassenia sabulosa,138,larvae,2,1,0.072828364,0.072828364
AXL007,Control 1 Day 30,control,Plecoptera,Claassenia sabulosa,138,larvae,11,1,9.858361403,9.858361403
AXL007,Control 1 Day 30,control,Plecoptera,Sweltsa sp.,11,larvae,6,3,0.856243648,2.568730944
AXL007,Control 1 Day 30,control,Plecoptera,Sweltsa sp.,11,larvae,7,3,1.303048011,3.909144033
AXL007,Control 1 Day 30,control,Trichoptera,Arctopsyche grandis,212,larvae,9,1,2.525521225,2.525521225
AXL007,Control 1 Day 30,control,Trichoptera,Arctopsyche grandis,212,larvae,11,2,4.451056622,8.902113244
AXL007,Control 1 Day 30,control,Trichoptera,Arctopsyche grandis,212,larvae,13,1,7.13421516,7.13421516
AXL007,Control 1 Day 30,control,Trichoptera,Arctopsyche grandis,212,larvae,15,1,10.68690359,10.68690359
AXL007,Control 1 Day 30,control,Trichoptera,Arctopsyche grandis,212,larvae,17,1,15.21801227,15.21801227
AXL007,Control 1 Day 30,control,Trichoptera,Arctopsyche grandis,212,larvae,19,1,20.83388896,20.83388896
AXL007,Control 1 Day 30,control,Trichoptera,Brachycentrus occidentalis,134,larvae,6,1,0.263714045,0.263714045
AXL007,Control 1 Day 30,control,Trichoptera,Brachycentrus occidentalis,134,larvae,7,7,0.393726742,2.756087191
AXL007,Control 1 Day 30,control,Trichoptera,Hydropsyche oslari,139,larvae,2,1,0.036114274,0.036114274
AXL007,Control 1 Day 30,control,Trichoptera,Hydropsyche oslari,139,larvae,4,1,0.255733482,0.255733482
AXL007,Control 1 Day 30,control,Trichoptera,Lepidostoma sp.,45,larvae,1,1,0.0079,0.0079
AXL007,Control 1 Day 30,control,Trichoptera,Lepidostoma sp.,45,larvae,2,8,0.049551357,0.396410854
AXL007,Control 1 Day 30,control,Trichoptera,Lepidostoma sp.,45,larvae,3,2,0.14505119,0.290102379
AXL007,Control 1 Day 30,control,Trichoptera,Lepidostoma sp.,45,larvae,5,2,0.561304641,1.122609281
AXL007,Control 1 Day 30,control,Trichoptera,Lepidostoma sp.,45,larvae,6,1,0.909808005,0.909808005
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,3,3,0.05515185,0.165455549
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,4,3,0.119267148,0.357801444
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,5,1,0.216938473,0.216938473
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,6,2,0.353688957,0.707377914
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,7,4,0.534694656,2.138778622
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,8,2,0.764860535,1.52972107
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,9,3,1.048871212,3.146613636
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,10,5,1.391227001,6.956135005
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,11,4,1.796270704,7.185082815
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,12,2,2.268208212,4.536416425
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,14,4,3.428998235,13.71599294
AXL007,Control 2 Day 0,control,Diptera,Atherix pachypus,159,larvae,17,1,5.770740644,5.770740644
AXL007,Control 2 Day 0,control,Diptera,Bibiocephala sp.,154,larvae,5,1,0.216938473,0.216938473
AXL007,Control 2 Day 0,control,Diptera,Chelifera sp.,66,larvae,3,1,0.095898389,0.095898389
AXL007,Control 2 Day 0,control,Diptera,Corynoneura sp. pupae,108,pupae,2,1,0.025501271,0.025501271
AXL007,Control 2 Day 0,control,Diptera,Eukiefferiella sp.,120,larvae,2,1,0.025501271,0.025501271
AXL007,Control 2 Day 0,control,Diptera,Eukiefferiella sp.,120,larvae,3,12,0.065380122,0.784561469
AXL007,Control 2 Day 0,control,Diptera,Eukiefferiella sp.,120,larvae,4,10,0.12751271,1.2751271
AXL007,Control 2 Day 0,control,Diptera,Micropsectra/Tanytarsus sp.,128,larvae,6,1,0.13873963,0.13873963
AXL007,Control 2 Day 0,control,Diptera,Nanocladius sp.,116,larvae,3,2,0.065380122,0.130760245
AXL007,Control 2 Day 0,control,Diptera,Nanocladius sp.,116,larvae,4,4,0.12751271,0.51005084
AXL007,Control 2 Day 0,control,Diptera,Nanocladius sp. pupae,116,pupae,2,1,0.025501271,0.025501271
AXL007,Control 2 Day 0,control,Diptera,Nanocladius sp. pupae,116,pupae,3,1,0.065380122,0.065380122
AXL007,Control 2 Day 0,control,Diptera,Parametriocnemus sp.,109,larvae,3,2,0.065380122,0.130760245
AXL007,Control 2 Day 0,control,Diptera,Parametriocnemus sp.,109,larvae,5,1,0.214081198,0.214081198
AXL007,Control 2 Day 0,control,Diptera,Simulium sp.,122,larvae,5,1,0.290813624,0.290813624
AXL007,Control 2 Day 0,control,Diptera,Simulium sp.,122,larvae,7,1,0.685869103,0.685869103
AXL007,Control 2 Day 0,control,Diptera,Simulium sp.,122,larvae,8,2,0.964096939,1.928193879
AXL007,Control 2 Day 0,control,Diptera,Simulium sp. pupae,122,pupae,3,1,0.079049738,0.079049738
AXL007,Control 2 Day 0,control,Diptera,Simulium sp. pupae,122,pupae,4,2,0.164624404,0.329248808
AXL007,Control 2 Day 0,control,Diptera,Thienemanniella sp.,106,larvae,2,1,0.025501271,0.025501271
AXL007,Control 2 Day 0,control,Diptera,Thienemanniella sp.,106,larvae,3,6,0.065380122,0.392280735
AXL007,Control 2 Day 0,control,Diptera,Thienemanniella sp. pupae,106,pupae,2,1,0.025501271,0.025501271
AXL007,Control 2 Day 0,control,Diptera,Tvetenia sp.,118,larvae,3,1,0.065380122,0.065380122
AXL007,Control 2 Day 0,control,Diptera,Tvetenia sp.,118,larvae,4,6,0.12751271,0.76507626
AXL007,Control 2 Day 0,control,Diptera,Tvetenia sp.,118,larvae,5,2,0.214081198,0.428162396
AXL007,Control 2 Day 0,control,Diptera,Tvetenia sp. pupae,118,pupae,3,2,0.065380122,0.130760245
AXL007,Control 2 Day 0,control,Ephemeroptera,Ameletus sp.,24,larvae,3,1,0.131058008,0.131058008
AXL007,Control 2 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,2,7,0.038880971,0.2721668
AXL007,Control 2 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,3,7,0.124738201,0.873167408
AXL007,Control 2 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,4,2,0.285232064,0.570464128
AXL007,Control 2 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,5,2,0.5417696,1.0835392
AXL007,Control 2 Day 0,control,Ephemeroptera,Baetis tricaudatus,26,larvae,6,2,0.915083479,1.830166957
AXL007,Control 2 Day 0,control,Ephemeroptera,Cinygmula sp.,30,larvae,2,4,0.072855168,0.291420672
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,2,2,0.065825398,0.131650796
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,3,22,0.194811102,4.285844237
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,4,13,0.420677962,5.468813509
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,5,1,0.764330089,0.764330089
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella doddsii,171,larvae,6,1,1.245001775,1.245001775
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,3,4,0.194811102,0.779244407
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,4,38,0.420677962,15.98576256
AXL007,Control 2 Day 0,control,Ephemeroptera,Drunella grandis,201,larvae,5,18,0.764330089,13.75794159
AXL007,Control 2 Day 0,control,Ephemeroptera,Ephemerella sp.,28,larvae,1,12,0.0103,0.1236
AXL007,Control 2 Day 0,control,Ephemeroptera,Ephemerella sp.,28,larvae,2,74,0.065825398,4.871079446
AXL007,Control 2 Day 0,control,Ephemeroptera,Ephemerella sp.,28,larvae,3,40,0.194811102,7.792444067
AXL007,Control 2 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,2,1,0.030245755,0.030245755
AXL007,Control 2 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,3,8,0.089876375,0.719011001
AXL007,Control 2 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,4,4,0.194639506,0.778558026
AXL007,Control 2 Day 0,control,Ephemeroptera,Paraleptophlebia sp.,33,larvae,5,2,0.354430665,0.70886133
AXL007,Control 2 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,2,21,0.072855168,1.529958526
AXL007,Control 2 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,3,59,0.222543898,13.13008999
AXL007,Control 2 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,4,71,0.491469953,34.89436667
AXL007,Control 2 Day 0,control,Ephemeroptera,Rhithrogena sp.,32,larvae,5,73,0.908630158,66.33000157
AXL007,Control 2 Day 0,control,Ephemeroptera,Rhithrogena sp.,2,larvae,6,4,1.501247506,6.004990026
AXL007,Control 2 Day 0,control,Ephemeroptera,Serratella sp.,29,larvae,7,1,1.880700239,1.880700239
AXL007,Control 2 Day 0,control,Plecoptera,Capniidae (Capnia sp.),183,larvae,3,1,0.081767503,0.081767503
AXL007,Control 2 Day 0,control,Plecoptera,Hesperoperla pacifica,14,larvae,3,1,0.234027712,0.234027712
AXL007,Control 2 Day 0,control,Plecoptera,Isoperla fulva,165,larvae,3,2,0.398586469,0.797172939
AXL007,Control 2 Day 0,control,Plecoptera,Isoperla fulva,165,larvae,4,1,0.877212007,0.877212007
AXL007,Control 2 Day 0,control,Plecoptera,Isoperla fulva,165,larvae,5,1,1.617453572,1.617453572
AXL007,Control 2 Day 0,control,Plecoptera,Pteronarcella badia,223,larvae,8,1,2.373946826,2.373946826
AXL007,Control 2 Day 0,control,Plecoptera,Skwala americana,16,larvae,8,1,5.868523063,5.868523063
AXL007,Control 2 Day 0,control,Plecoptera,Skwala americana,16,larvae,11,1,14.05253948,14.05253948
AXL007,Control 2 Day 0,control,Plecoptera,Sweltsa sp.,11,larvae,5,3,0.521083892,1.563251677
AXL007,Control 2 Day 0,control,Plecoptera,Sweltsa sp.,11,larvae,7,2,1.303048011,2.606096022
AXL007,Control 2 Day 0,control,Plecoptera,Zapada cinctipes,13,larvae,3,1,0.116411781,0.116411781
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,3,1,0.113490785,0.113490785
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,5,1,0.48024347,0.48024347
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,6,4,0.803654364,3.214617455
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,7,2,1.242015573,2.484031145
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,8,1,1.810907633,1.810907633
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,9,3,2.525521225,7.576563675
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,10,2,3.400714523,6.801429046
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,11,4,4.451056622,17.80422649
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,12,2,5.690861483,11.38172297
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,14,2,8.794998077,17.58999615
AXL007,Control 2 Day 0,control,Trichoptera,Arctopsyche grandis,212,larvae,17,2,15.21801227,30.43602455
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus americanus,134,larvae,2,2,0.015157166,0.030314331
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,4,3,0.091895868,0.275687605
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,5,29,0.164157988,4.760581645
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,6,17,0.263714045,4.483138759
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,7,5,0.393726742,1.968633708
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,8,2,0.557152361,1.114304721
AXL007,Control 2 Day 0,control,Trichoptera,Brachycentrus occidentalis,134,larvae,9,1,0.756781546,0.756781546
AXL007,Control 2 Day 0,control,Trichoptera,Hydropsyche oslari,139,larvae,2,8,0.036114274,0.288914189
AXL007,Control 2 Day 0,control,Trichoptera,Hydropsyche oslari,139,larvae,3,5,0.113490785,0.567453924
AXL007,Control 2 Day 0,control,Trichoptera,Hydropsyche oslari,139,larvae,4,1,0.255733482,0.255733482
AXL007,Control 2 Day 0,control,Trichoptera,Hydropsyche oslari,139,larvae,5,2,0.48024347,0.96048694
AXL007,Control 2 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,2,12,0.049551357,0.59461628
AXL007,Control 2 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,4,3,0.310802146,0.932406437
AXL007,Control 2 Day 0,control,Trichoptera,Lepidostoma sp.,45,larvae,5,4,0.561304641,2.245218562
AXL007,Control 2 Day 30,control,Coleoptera,Optioservus sp.,215,larvae,2,1,0.028970943,0.028970943
AXL007,Control 2 Day 30,control,Diptera,Antocha sp.,137,larvae,3,1,0.05515185,0.05515185
AXL007,Control 2 Day 30,control,Diptera,Atherix pachypus,159,larvae,4,2,0.119267148,0.238534296
AXL007,Control 2 Day 30,control,Diptera,Atherix pachypus,159,larvae,5,3,0.216938473,0.65081542
AXL007,Control 2 Day 30,control,Diptera,Atherix pachypus,159,larvae,6,2,0.353688957,0.707377914
